long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender,Favorite_Music_Genre,Favorite_Beverage,Other,Sprite
1.0,0.7448275862068966,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
0.0,0.8965517241379309,0.15000000000000036,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
0.0,0.7448275862068966,0.6000000000000001,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.9241379310344827,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.8620689655172413,0.40000000000000036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.8275862068965517,0.8500000000000001,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.9862068965517242,0.5500000000000003,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,0.8275862068965517,0.050000000000000266,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,0.7517241379310344,0.15000000000000036,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1.0,0.7655172413793103,0.15000000000000036,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0,0.793103448275862,0.15000000000000036,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1.0,0.9999999999999999,0.3500000000000001,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.9448275862068966,0.050000000000000266,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.9310344827586207,0.8000000000000003,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,0.9103448275862068,0.7000000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.793103448275862,0.050000000000000266,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.979310344827586,0.4500000000000002,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,0.8965517241379309,0.40000000000000036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.7517241379310344,0.050000000000000266,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,0.9241379310344827,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.9379310344827586,0.6000000000000001,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.8137931034482758,0.9500000000000002,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,0.8206896551724138,0.6500000000000004,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.7724137931034482,0.4500000000000002,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0.0,0.9103448275862068,0.10000000000000009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1.0,0.7793103448275862,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,0.9103448275862068,0.5500000000000003,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,0.793103448275862,0.050000000000000266,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
