ID,ram,touch_screen,wifi,os
1,2338,1,0,android
2,1334,0,0,ios
3,3657,1,0,android
4,2080,0,1,android
5,1609,0,0,ios
6,3078,0,1,android
7,590,1,1,ios
8,2552,1,1,android
9,3355,0,0,android
10,1968,0,0,android
11,3358,0,0,android
12,1539,0,0,ios
13,942,1,1,ios
14,3669,0,1,android
15,3612,0,0,android
16,2351,1,0,ios
17,604,1,1,ios
18,1285,1,0,ios
19,515,1,0,ios
20,654,0,0,ios
21,2540,1,1,android
22,3869,0,1,android
23,3412,0,0,android
24,509,0,0,ios
25,2547,1,0,android
26,2735,0,1,android
27,1369,1,1,ios
28,2942,1,1,android
29,2812,0,0,android
30,3497,1,0,android
31,619,1,1,ios
32,3483,0,0,android
33,1475,0,0,ios
34,1950,1,1,ios
35,3592,0,0,android
36,3573,1,0,android
37,2020,1,0,ios
38,1329,1,0,android
39,3568,0,1,android
40,1947,0,1,android
41,1998,1,0,android
42,725,0,0,ios
43,3302,1,1,android
44,3884,1,1,android
45,1185,1,1,ios
46,1656,0,1,android
47,2870,0,1,android
48,911,0,0,ios
49,3892,1,0,android
50,3897,1,1,android
51,656,0,1,ios
52,606,1,1,ios
53,1653,0,0,ios
54,860,0,1,ios
55,2197,1,1,ios
56,3458,0,1,android
57,2066,1,1,ios
58,3676,0,1,android
59,1518,0,1,ios
60,1018,0,0,ios
61,1360,0,0,ios
62,3449,0,0,android
63,2524,0,0,android
64,703,0,1,ios
65,1251,1,1,ios
66,582,0,0,ios
67,1732,1,1,ios
68,1252,1,1,android
69,2146,0,0,ios
70,1927,0,1,ios
71,3328,1,1,android
72,2462,0,1,android
73,1172,1,1,ios
74,3598,0,1,android
75,2437,1,1,android
76,3271,1,0,android
77,1511,0,0,ios
78,2981,0,0,android
79,3119,1,0,android
80,3647,0,1,android
81,3148,1,0,android
82,2829,0,1,android
83,2373,1,0,android
84,3998,1,0,android
85,316,0,0,ios
86,999,1,0,ios
87,1808,1,0,ios
88,589,1,0,ios
89,3317,1,0,android
90,670,0,0,ios
91,584,0,0,ios
92,2173,1,0,android
93,1561,0,1,ios
94,2073,0,1,ios
95,1401,1,0,ios
96,3764,0,0,android
97,1275,0,1,ios
98,1464,0,1,ios
99,2885,1,1,ios
100,3458,1,1,ios
101,3019,0,1,ios
102,1083,0,0,ios
103,3538,0,1,android
104,2493,1,1,android
105,3726,0,0,android
106,1531,0,0,ios
107,601,0,0,ios
108,2991,0,1,android
109,3912,1,1,android
110,309,0,1,ios
111,323,1,1,ios
112,1489,1,1,ios
113,1322,0,0,ios
114,1846,0,1,ios
115,417,0,1,ios
116,3269,1,0,android
117,3731,0,0,android
118,667,0,0,ios
119,1241,0,1,ios
120,3941,0,0,android
121,1018,0,0,ios
122,3142,1,1,android
123,1444,0,0,ios
124,934,1,0,ios
125,3863,1,1,android
126,3506,1,0,android
127,1944,1,0,ios
128,348,0,1,ios
