squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom
75523,3,,1,63,9373,3,,2005,1,4313,9005,956,0,7
80771,39,,1,98,39381,8,,2015,0,3653,2436,128,1,2
55712,58,,1,19,34457,6,,2021,0,2937,8852,135,1,9
32316,47,,0,6,27939,10,,2012,1,659,7141,359,0,3
70429,19,,1,90,38045,3,,1990,0,8435,2429,292,1,4
39223,36,,1,17,39489,8,,2012,1,2009,4552,757,0,1
58682,10,,1,99,6450,10,,1995,1,5930,9453,848,0,5
86929,100,,0,11,98155,3,,2003,0,6326,4748,654,0,10
51522,3,,0,61,9047,8,,2012,1,632,5792,807,1,5
39686,42,,0,15,71019,5,,2021,1,5198,5342,591,1,3
23563,21,,1,90,91058,6,,1993,0,703,852,684,1,10
96470,74,,0,21,92029,4,,2011,1,5414,1172,716,1,9
19127,31,,0,5,7475,2,,2008,0,5387,4430,374,0,4
13087,44,,0,,40475,8,,2004,0,1745,724,582,0,0
79770,3,,1,,54812,10,,2018,1,8871,7117,240,0,7
75985,60,,0,,6517,6,,2009,1,4878,281,384,1,5
64169,88,,1,,61711,3,,2011,1,3054,129,726,0,9
99371,31,,1,,96297,7,,2013,1,3258,6296,354,1,8
25966,37,,1,,22818,3,,2016,0,8257,2557,162,0,6
41792,43,,1,,80768,9,,2017,1,2950,9573,572,1,5
28795,64,,1,,97667,3,,2009,1,9862,2666,330,1,0
92383,12,,0,,71982,3,,2000,0,7507,9056,892,1,1
33279,64,,0,,91690,3,,2019,1,2427,717,732,0,1
34782,47,,0,,35331,1,,2020,1,9586,6604,822,0,2
13386,51,,0,,87978,4,,1993,0,2885,1149,904,1,4
20883,56,,0,,85377,5,,2018,0,9982,8142,670,1,10
95121,46,,1,,9382,7,,1994,0,615,1221,328,0,10
6071,72,,0,,8410,2,,2003,1,3306,3635,295,0,2
11844,43,,0,,46144,6,,1993,0,5292,8233,395,0,10
52078,7,,1,,20372,10,,2016,1,1864,2049,558,0,5
25897,98,,0,,20344,2,,1993,1,9799,9569,116,1,10
85443,40,,1,,339,3,,2021,0,3056,8928,292,1,2
11412,78,,0,,73807,1,,2009,1,6899,8997,695,0,0
