SquareMeters,NumberOfRooms,HasYard,NumPrevOwners,Attic,HasGuestRoom,category
75057,63,1.0,5.0,6084,6,Basic
70919,11,1.0,10.0,1290,10,Luxury
29710,96,1.0,8.0,4716,2,Basic
61798,46,0.0,1.0,8006,0,Basic
6313,53,1.0,6.0,8642,0,Basic
60375,50,0.0,9.0,5057,9,Basic
69421,45,0.0,2.0,4985,9,Basic
89086,4,0.0,10.0,2972,9,Basic
68603,60,0.0,9.0,7023,2,Luxury
12448,59,0.0,2.0,4762,0,Basic
37945,85,0.0,8.0,7570,5,Basic
34867,42,0.0,5.0,4868,1,Basic
16547,85,1.0,5.0,3447,10,Luxury
58218,14,1.0,6.0,3235,10,Luxury
28790,88,0.0,2.0,9630,10,Basic
92822,54,1.0,10.0,6951,5,Basic
89217,75,1.0,4.0,9333,8,Luxury
65822,14,0.0,7.0,6662,5,Basic
617,21,1.0,4.0,9336,3,Basic
37171,98,0.0,5.0,723,9,Basic
37171,98,0.0,5.0,723,9,Basic
37171,56,1.0,2.0,8473,2,Basic
37171,56,1.0,2.0,8473,2,Basic
82918,54,0.0,10.0,4203,8,Basic
4130,26,1.0,6.0,9141,7,Luxury
95145,60,1.0,9.0,6839,4,Basic
58864,11,0.0,3.0,9803,9,Basic
94363,61,0.0,9.0,2239,7,Luxury
78204,16,0.0,8.0,1136,9,Basic
71588,89,0.0,7.0,5378,5,Basic
68579,67,1.0,2.0,7099,4,Basic
19174,44,0.0,3.0,6766,9,Basic
90646,21,0.0,1.0,4738,3,Basic
81430,82,1.0,6.0,2909,4,Basic
99428,94,0.0,6.0,3046,3,Basic
60815,2,0.0,10.0,7559,5,Basic
95591,90,1.0,5.0,1139,10,Luxury
47497,18,1.0,5.0,3996,6,Basic
65725,75,0.0,9.0,6832,9,Basic
21360,8,1.0,7.0,3286,4,Basic
56559,23,1.0,4.0,1223,4,Basic
45440,74,0.0,10.0,7129,0,Basic
13112,74,1.0,9.0,1105,9,Luxury
68276,71,0.0,4.0,7020,10,Basic
64518,90,0.0,6.0,3638,6,Basic
56093,94,1.0,10.0,6187,2,Basic
84653,83,0.0,8.0,299,1,Basic
96169,51,0.0,3.0,9920,7,Basic
57789,60,1.0,6.0,7192,5,Luxury
93091,33,1.0,9.0,8404,8,Basic
87190,99,1.0,7.0,5913,0,Basic
38998,68,1.0,3.0,6035,2,Luxury
97134,61,1.0,4.0,5077,7,Basic
39309,80,1.0,3.0,6462,7,Basic
70751,87,1.0,8.0,2319,7,Basic
63086,91,0.0,2.0,7398,10,Luxury
25472,23,0.0,3.0,5106,9,Basic
3514,8,0.0,6.0,5840,2,Basic
99134,67,1.0,9.0,9674,2,Basic
82653,31,0.0,6.0,2348,3,Basic
