SquareMeters,NumberOfRooms,HasYard,NumPrevOwners,Attic,HasGuestRoom,price
75057,63,1.0,5.0,6084,6,7518049.7
70919,11,1.0,10.0,1290,10,7101031.7
29710,96,1.0,8.0,4716,2,2978583.5
61798,46,0.0,1.0,8006,0,6182113.3
6313,53,1.0,6.0,8642,0,641055.4
60375,50,0.0,9.0,5057,9,6038750.4
69421,45,0.0,2.0,4985,9,6945284.4
89086,4,0.0,10.0,2972,9,8909993.9
68603,60,0.0,9.0,7023,2,6861289.0
12448,59,0.0,2.0,4762,0,1249624.3
37945,85,0.0,8.0,7570,5,3799158.1
34867,42,0.0,5.0,4868,1,3491110.1
16547,85,1.0,5.0,3447,10,1659757.8
58218,14,1.0,6.0,3235,10,5834539.4
28790,88,0.0,2.0,9630,10,2882833.5
92822,54,1.0,10.0,6951,5,9287119.9
89217,75,1.0,4.0,9333,8,8929604.1
65822,14,0.0,7.0,6662,5,6588632.6
617,21,1.0,4.0,9336,3,67453.3
37171,98,0.0,5.0,723,9,3719105.2
37171,98,0.0,5.0,723,9,3723277.4
37171,56,1.0,2.0,8473,2,3719105.2
37171,56,1.0,2.0,8473,2,3723277.4
82918,54,0.0,10.0,4203,8,8292659.9
4130,26,1.0,6.0,9141,7,421621.1
95145,60,1.0,9.0,6839,4,9519958.0
58864,11,0.0,3.0,9803,9,5891413.4
94363,61,0.0,9.0,2239,7,9440706.9
78204,16,0.0,8.0,1136,9,7822501.2
71588,89,0.0,7.0,5378,5,7161052.2
68579,67,1.0,2.0,7099,4,6868611.7
19174,44,0.0,3.0,6766,9,1923170.6
90646,21,0.0,1.0,4738,3,9071481.7
81430,82,1.0,6.0,2909,4,8147920.0
99428,94,0.0,6.0,3046,3,9947775.8
60815,2,0.0,10.0,7559,5,6089911.5
95591,90,1.0,5.0,1139,10,9569415.3
47497,18,1.0,5.0,3996,6,4761272.9
65725,75,0.0,9.0,6832,9,6582022.0
21360,8,1.0,7.0,3286,4,2139458.1
56559,23,1.0,4.0,1223,4,5661049.0
