date,quarantine
01/01/2020,no
02/01/2020,no
03/01/2020,no
04/01/2020,no
05/01/2020,no
06/01/2020,no
07/01/2020,no
08/01/2020,no
09/01/2020,no
10/01/2020,no
11/01/2020,no
12/01/2020,no
13/01/2020,no
14/01/2020,no
15/01/2020,no
16/01/2020,no
17/01/2020,no
18/01/2020,no
19/01/2020,no
20/01/2020,no
21/01/2020,no
22/01/2020,no
23/01/2020,no
24/01/2020,no
25/01/2020,no
26/01/2020,no
27/01/2020,no
28/01/2020,no
29/01/2020,no
30/01/2020,no
31/01/2020,no
01/02/2020,no
02/02/2020,no
03/02/2020,no
04/02/2020,no
05/02/2020,no
06/02/2020,no
07/02/2020,no
08/02/2020,no
09/02/2020,no
10/02/2020,no
11/02/2020,no
12/02/2020,no
13/02/2020,no
14/02/2020,no
15/02/2020,no
16/02/2020,no
17/02/2020,no
18/02/2020,no
19/02/2020,no
20/02/2020,no
21/02/2020,no
22/02/2020,no
23/02/2020,no
24/02/2020,no
25/02/2020,no
26/02/2020,no
27/02/2020,no
28/02/2020,no
29/02/2020,no
01/03/2020,no
02/03/2020,no
03/03/2020,no
04/03/2020,no
05/03/2020,no
06/03/2020,no
07/03/2020,no
08/03/2020,no
09/03/2020,no
10/03/2020,no
11/03/2020,no
12/03/2020,no
13/03/2020,no
14/03/2020,no
15/03/2020,no
16/03/2020,yes
17/03/2020,yes
18/03/2020,yes
19/03/2020,yes
20/03/2020,yes
21/03/2020,yes
22/03/2020,yes
23/03/2020,yes
24/03/2020,yes
25/03/2020,yes
26/03/2020,yes
27/03/2020,yes
28/03/2020,yes
29/03/2020,yes
30/03/2020,yes
31/03/2020,yes
01/04/2020,yes
02/04/2020,yes
03/04/2020,yes
04/04/2020,yes
05/04/2020,yes
06/04/2020,yes
07/04/2020,yes
08/04/2020,yes
09/04/2020,yes
10/04/2020,yes
11/04/2020,yes
12/04/2020,yes
13/04/2020,yes
14/04/2020,yes
15/04/2020,yes
16/04/2020,yes
17/04/2020,yes
18/04/2020,no
19/04/2020,no
20/04/2020,no
21/04/2020,no
22/04/2020,no
23/04/2020,no
24/04/2020,no
25/04/2020,no
26/04/2020,no
27/04/2020,no
28/04/2020,no
29/04/2020,no
30/04/2020,no
01/05/2020,no
02/05/2020,no
03/05/2020,no
04/05/2020,no
05/05/2020,no
06/05/2020,no
07/05/2020,no
08/05/2020,no
09/05/2020,no
10/05/2020,no
11/05/2020,no
12/05/2020,no
13/05/2020,no
14/05/2020,no
15/05/2020,no
16/05/2020,no
17/05/2020,no
18/05/2020,no
19/05/2020,no
20/05/2020,no
21/05/2020,no
22/05/2020,no
23/05/2020,no
24/05/2020,no
25/05/2020,no
26/05/2020,no
27/05/2020,no
28/05/2020,no
29/05/2020,no
30/05/2020,no
31/05/2020,no
01/06/2020,no
02/06/2020,no
03/06/2020,no
04/06/2020,no
05/06/2020,no
06/06/2020,no
07/06/2020,no
08/06/2020,no
09/06/2020,no
10/06/2020,no
11/06/2020,no
12/06/2020,no
13/06/2020,no
14/06/2020,no
15/06/2020,no
16/06/2020,no
17/06/2020,no
18/06/2020,no
19/06/2020,no
20/06/2020,no
21/06/2020,no
22/06/2020,no
23/06/2020,no
