wine_id,taster_name,title,points
0,Kerin Oâ€™Keefe,Nicosia 2013 VulkÃ  Bianco  (Etna),87
6,Kerin Oâ€™Keefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),87
13,Kerin Oâ€™Keefe,Masseria Setteporte 2012 Rosso  (Etna),87
22,Kerin Oâ€™Keefe,Baglio di Pianetto 2007 Ficiligno White (Sicilia),87
24,Kerin Oâ€™Keefe,CanicattÃ¬ 2009 Aynat Nero d'Avola (Sicilia),87
26,Kerin Oâ€™Keefe,Stemmari 2013 Dalila White (Terre Siciliane),87
27,Kerin Oâ€™Keefe,Stemmari 2013 Nero d'Avola (Terre Siciliane),87
28,Kerin Oâ€™Keefe,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),87
31,,Duca di Salaparuta 2010 CalanÃ¬ca Nero d'Avola-Merlot Red (Sicilia),86
32,,Duca di Salaparuta 2011 CalanÃ¬ca Grillo-Viognier White (Sicilia),86
37,,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),86
38,,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),86
39,,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),86
40,,Feudo Montoni 2011 Catarratto (Sicilia),86
46,,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),86
50,,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),86
52,,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),85
54,,Corvo 2010 Rosso Red (Sicilia),85
57,,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),85
61,Kerin Oâ€™Keefe,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),86
72,Kerin Oâ€™Keefe,Grifalco 2013 Daginestra  (Aglianico del Vulture),86
88,Kerin Oâ€™Keefe,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),86
89,Kerin Oâ€™Keefe,Fattoria Sardi 2015 Rosato (Toscana),88
98,Kerin Oâ€™Keefe,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),88
104,Kerin Oâ€™Keefe,Madonna Alta 2014 Nativo Red (Toscana),87
105,Kerin Oâ€™Keefe,Marchesi Antinori 2015 Villa Antinori White (Toscana),87
106,Kerin Oâ€™Keefe,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),87
107,Kerin Oâ€™Keefe,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),87
109,Kerin Oâ€™Keefe,Ornellaia 2014 Le Volte Red (Toscana),87
112,Kerin Oâ€™Keefe,Podere Ciona 2014 Semifonte Red (Toscana),87
113,Kerin Oâ€™Keefe,Poggioventoso 2015 Poetico White (Toscana),87
118,Kerin Oâ€™Keefe,Tenuta Forconi 2013 Toscano Red (Toscana),87
120,,Ceretto 2003 Bricco Rocche PrapÃ³  (Barolo),92
130,,Ceretto 2003 Bricco Rocche Brunate  (Barolo),91
133,,Poderi Luigi Einaudi 2003  Barolo,91
135,,Giacomo Ascheri 2001 Sorano  (Barolo),91
140,,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),90
141,,Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),90
158,Kerin Oâ€™Keefe,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),91
159,Kerin Oâ€™Keefe,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),91
175,,Tenuta Peter SÃ¶lva & SÃ¶hne 2007 De Silva Sauvignon (Alto Adige),88
177,,Isole e Olena 2005  Chianti Classico,88
182,,Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),88
187,,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),88
190,,Fattoria Alois 2007 Campole Red (Campania),87
192,,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),87
194,,Campomaggio 2005  Chianti Classico,87
